Time,X,Y,Z,DiffX,DiffY,DiffZ,Zrange,Gas1L,Gas1R
2890,3.5591926575,-6.0066819191,0.0190097764,-0.0378534794,0.1595096588,-0.0031926241,0,19559,19404
2900,3.5571897030,-6.0016932487,0.0042134817,-0.0398564339,0.1644983292,-0.0179889188,0,19559,19404
2910,3.5524351597,-6.0001630783,-0.0069493917,-0.0446109772,0.1660284996,-0.0291517922,0,19559,19404
2920,3.5508451462,-5.9980692863,-0.0005239837,-0.0462009907,0.1681222916,-0.0227263842,0,19559,19404
2932,3.5488891602,-5.9993519783,0.0250551589,-0.0481569767,0.1668395996,0.0028527584,0,19559,19404
2941,3.5478539467,-6.0033240318,0.0280296095,-0.0491921902,0.1628675461,0.0058272090,0,19559,19404
2951,3.5435290337,-5.9882159233,0.0605753101,-0.0535171032,0.1779756546,0.0383729097,0,19559,19404
2962,3.5425832272,-5.9850578308,0.0678194612,-0.0544629097,0.1811337471,0.0456170607,0,19559,19404
2970,3.5415151119,-5.9887418747,0.0757901669,-0.0555310249,0.1774497032,0.0535877664,0,19559,19404
2980,3.5387609005,-5.9900259972,0.0653031245,-0.0582852364,0.1761655807,0.0431007240,29,19559,19404
2990,3.5381500721,-5.9944834709,0.0830998421,-0.0588960648,0.1717081070,0.0608974416,29,19559,19404
3000,3.5344169140,-5.9969196320,0.0811015218,-0.0626292229,0.1692719460,0.0588991214,29,19559,19404
3010,3.5276384354,-5.9949498177,0.1221293584,-0.0694077015,0.1712417603,0.0999269579,29,19559,19404
3023,3.5343134403,-6.0119948387,0.1198273003,-0.0627326965,0.1541967392,0.0976248998,67,19559,19404
3030,3.5264627934,-6.0039210320,0.1443053037,-0.0705833435,0.1622705460,0.1221029032,67,19559,19404
3040,3.5189175606,-5.9901428223,0.1602525562,-0.0781285763,0.1760487556,0.1380501557,67,19559,19404
3050,3.5118620396,-5.9889888763,0.1850848347,-0.0851840973,0.1772027016,0.1628824342,67,19559,19404
3060,3.5154416561,-5.9991807938,0.2128783613,-0.0816044807,0.1670107841,0.1906759609,67,19559,19404
3070,3.5219938755,-5.9992637634,0.1954041719,-0.0750522614,0.1669278145,0.1732017715,111,19559,19404
3080,3.5266337395,-6.0002212524,0.2105115652,-0.0704123974,0.1659703255,0.1883091647,111,19559,19404
3090,3.5336816311,-6.0016293526,0.2207371742,-0.0633645058,0.1645622253,0.1985347737,111,19559,19404
3100,3.5340473652,-6.0046734810,0.2266788185,-0.0629987717,0.1615180969,0.2044764180,111,19559,19404
3110,3.5609331131,-6.0275959969,0.2106384933,-0.0361130238,0.1385955811,0.1884360928,132,19559,19404
3120,3.5677452087,-6.0484590530,0.2045374513,-0.0293009281,0.1177325249,0.1823350508,132,19559,19404
3130,3.5684320927,-6.0463166237,0.2169307917,-0.0286140442,0.1198749542,0.1947283912,132,19559,19404
3140,3.5815489292,-6.0696177483,0.2206760645,-0.0154972076,0.0965738297,0.1984736640,132,19559,19420
3150,3.5811271667,-6.0600347519,0.2408505976,-0.0159189701,0.1061568260,0.2186481971,132,19559,19420
3160,3.5875744820,-6.0589156151,0.2070033252,-0.0094716549,0.1072759628,0.1848009247,134,19559,19420
3170,3.5916156769,-6.0499053001,0.2144446820,-0.0054304600,0.1162862778,0.1922422815,134,19559,19420
3180,3.6100094318,-6.0412511826,0.2044667453,0.0129632950,0.1249403954,0.1822643448,134,19559,19420
3190,3.6162176132,-6.0385518074,0.2038656622,0.0191714764,0.1276397705,0.1816632617,134,19559,19420
3200,3.6197533607,-6.0282249451,0.1852108091,0.0227072239,0.1379666328,0.1630084086,140,19559,19420
3210,3.6297781467,-6.0318365097,0.1775336266,0.0327320099,0.1343550682,0.1553312261,140,19559,19420
3220,3.6343941689,-6.0178928375,0.1810024232,0.0373480320,0.1482987404,0.1588000227,140,19559,19420
3230,3.6423923969,-6.0167036057,0.1704705507,0.0453462601,0.1494879723,0.1482681502,140,19559,19420
3240,3.6409139633,-6.0134315491,0.1774109155,0.0438678265,0.1527600288,0.1552085150,83,19559,19420
3250,3.6376976967,-6.0038766861,0.1501080841,0.0406515598,0.1623148918,0.1279056836,83,19559,19420
3260,3.6477346420,-6.0195612907,0.1418600082,0.0506885052,0.1466302872,0.1196576077,83,19559,19420
3270,3.6478402615,-6.0169830322,0.1713454425,0.0507941246,0.1492085457,0.1491430420,83,19559,19420
3280,3.6531212330,-6.0206499100,0.1716100723,0.0560750961,0.1455416679,0.1494076718,83,19559,19420
3290,3.6449828148,-6.0092010498,0.1514286697,0.0479366779,0.1569905281,0.1292262692,89,19559,19420
3300,3.6447970867,-6.0063138008,0.1750456393,0.0477509499,0.1598777771,0.1528432388,89,19559,19420
3310,3.6482069492,-6.0109143257,0.1771519333,0.0511608124,0.1552772522,0.1549495328,89,19559,19420
3320,3.6538515091,-6.0085296631,0.1732836217,0.0568053722,0.1576619148,0.1510812212,89,19559,19420
3331,3.6624372005,-6.0174455643,0.1765200496,0.0653910637,0.1487460136,0.1543176491,84,19559,19420
3340,3.6508502960,-5.9946045876,0.1713264436,0.0538041592,0.1715869904,0.1491240431,84,19559,19420
3350,3.6531355381,-5.9872555733,0.1720579565,0.0560894012,0.1789360046,0.1498555560,84,19559,19420
3360,3.6587216854,-5.9842872620,0.1923657060,0.0616755486,0.1819043159,0.1701633055,84,19559,19420
3370,3.6633143425,-5.9897904396,0.1966700256,0.0662682056,0.1764011383,0.1744676251,84,19559,19420
3380,3.6435308456,-5.9728946686,0.1590995938,0.0464847088,0.1932969093,0.1368971933,73,19559,19420
3390,3.6477930546,-5.9756383896,0.1698539555,0.0507469177,0.1905531883,0.1476515550,73,19559,19420
3400,3.6484947205,-5.9536914825,0.1784425378,0.0514485836,0.2125000954,0.1562401373,73,19562,19420
3410,3.6472218037,-5.9425973892,0.1849768758,0.0501756668,0.2235941887,0.1627744753,73,19562,19420
3420,3.6493432522,-5.9329009056,0.1986566782,0.0522971153,0.2332906723,0.1764542777,67,19562,19420
3430,3.6200208664,-5.9109797478,0.1583962739,0.0229747295,0.2552118301,0.1361938734,67,19562,19420
3440,3.6264071465,-5.8999257088,0.1757861078,0.0293610096,0.2662658691,0.1535837073,67,19562,19420
3450,3.6220808029,-5.8831768036,0.1844511032,0.0250346661,0.2830147743,0.1622487027,67,19562,19420
3460,3.6046950817,-5.8437528610,0.1944069415,0.0076489449,0.3224387169,0.1722045410,67,19562,19420
3470,3.5683376789,-5.8401312828,0.1414427012,-0.0287084579,0.3260602951,0.1192403007,45,19562,19420
3480,3.5562734604,-5.7912530899,0.1452057362,-0.0407726765,0.3749384880,0.1230033357,45,19562,19420
3490,3.5485494137,-5.7764902115,0.1452289075,-0.0484967232,0.3897013664,0.1230265070,45,19562,19420
3500,3.5447685719,-5.7581214905,0.1460779607,-0.0522775650,0.4080700874,0.1238755602,45,19562,19420
3510,3.5485060215,-5.7669477463,0.1475583166,-0.0485401154,0.3992438316,0.1253559161,27,19562,19420
3520,3.5258934498,-5.7658009529,0.1054378301,-0.0711526871,0.4003906250,0.0832354296,27,19562,19420
3530,3.5286161900,-5.7835330963,0.1082153022,-0.0684299469,0.3826584816,0.0860129017,27,19562,19420
3540,3.5214724541,-5.7822456360,0.1095197126,-0.0755736828,0.3839459419,0.0873173121,27,19562,19420
3550,3.5202882290,-5.7779116631,0.1101717129,-0.0767579079,0.3882799149,0.0879693124,27,19562,19420
3560,3.4937536716,-5.7535481453,0.0724568665,-0.1032924652,0.4126434326,0.0502544660,17,19562,19420
3570,3.5022890568,-5.7519154549,0.0927641243,-0.0947570801,0.4142761230,0.0705617238,17,19562,19420
3580,3.5024812222,-5.7572789192,0.0895422846,-0.0945649147,0.4089126587,0.0673398841,17,19562,19420
3590,3.5004098415,-5.7526526451,0.0925595164,-0.0966362953,0.4135389328,0.0703571159,17,19562,19420
3600,3.5039567947,-5.7545127869,0.0741105154,-0.0930893421,0.4116787910,0.0519081149,8,19562,19420
3610,3.4983320236,-5.7428240776,0.0926925689,-0.0987141132,0.4233675003,0.0704901684,8,19562,19420
3620,3.4963254929,-5.7253928185,0.0988238230,-0.1007206440,0.4407987595,0.0766214225,8,19562,19420
3630,3.4910547733,-5.7035636902,0.1016223282,-0.1059913635,0.4626278877,0.0794199277,8,19562,19420
3640,3.4792356491,-5.6551847458,0.1029806361,-0.1178104877,0.5110068321,0.0807782356,8,19562,19420
3650,3.4762556553,-5.6578221321,0.0748796314,-0.1207904816,0.5083694458,0.0526772309,6,19562,19423
3660,3.4725854397,-5.6304998398,0.0947947279,-0.1244606972,0.5356917381,0.0725923274,6,19562,19423
3670,3.4735181332,-5.6303129196,0.0971427560,-0.1235280037,0.5358786583,0.0749403555,6,19562,19423
3680,3.4690299034,-5.6223692894,0.1018015891,-0.1280162334,0.5438222885,0.0795991886,6,19562,19423
3690,3.4701502323,-5.6290936470,0.0677755252,-0.1268959045,0.5370979309,0.0455731247,4,19562,19423
3700,3.4676499367,-5.6276407242,0.0661180168,-0.1293962002,0.5385508537,0.0439156163,4,19562,19423
3710,3.4664180279,-5.6167378426,0.0751373544,-0.1306281090,0.5494537354,0.0529349539,4,19562,19423
