Time,X,Y,Z
4520,1.2404189110,2.0803077221,0.0873645395
4530,1.2397193909,2.0798413754,0.0870692357
4540,1.2400432825,2.0803241730,0.0873102173
4550,1.2402327061,2.0806696415,0.0867620632
4560,1.2400814295,2.0809223652,0.0866726190
4570,1.2404412031,2.0805919170,0.0865731239
4580,1.2403500080,2.0804769993,0.0866267309
4590,1.2402621508,2.0786941051,0.0864985064
4600,1.2400057316,2.0778019428,0.0856697559
4610,1.2400079966,2.0779023170,0.0868453011
4620,1.2397345304,2.0768613815,0.0863194391
4630,1.2393383980,2.0773439407,0.0886459425
4640,1.2393091917,2.0763618946,0.0878669694
4650,1.2396181822,2.0767667294,0.0882231519
4660,1.2398350239,2.0762653351,0.0881571695
4670,1.2400621176,2.0767776966,0.0882278904
4681,1.2404693365,2.0763564110,0.0871796533
4690,1.2404944897,2.0758852959,0.0876334161
4700,1.2404688597,2.0754935741,0.0879301876
4710,1.2404203415,2.0749385357,0.0885206163
4721,1.2405951023,2.0749111176,0.0888683051
4730,1.2404823303,2.0748722553,0.0875645205
4740,1.2402936220,2.0747992992,0.0877989754
4750,1.2402832508,2.0747981071,0.0881018564
4760,1.2400683165,2.0746295452,0.0884404182
4770,1.2409474850,2.0750553608,0.0893848315
4780,1.2411704063,2.0745313168,0.0900260508
4790,1.2412600517,2.0749504566,0.0906051844
4800,1.2415950298,2.0753042698,0.0909811929
4810,1.2415990829,2.0753338337,0.0920439139
4820,1.2415939569,2.0749421120,0.0926850364
4830,1.2415170670,2.0748014450,0.0931773335
4840,1.2402639389,2.0767982006,0.0950028300
4850,1.2413874865,2.0772080421,0.1010471433
4860,1.2439975739,2.0746281147,0.1036115140
4870,1.2443602085,2.0769760609,0.1136346981
4880,1.2426978350,2.0763804913,0.1210344955
4890,1.2448998690,2.0759832859,0.1259846538
4900,1.2448825836,2.0759801865,0.1288683116
4910,1.2444690466,2.0751831532,0.1189224795
4920,1.2443522215,2.0753746033,0.1198560521
4930,1.2439385653,2.0753672123,0.1216823682
4940,1.2453647852,2.0747065544,0.1238376275
4950,1.2457996607,2.0743858814,0.1185698584
4960,1.2430418730,2.0744624138,0.1206624284
4970,1.2454794645,2.0754950047,0.1264606118
4980,1.2486608028,2.0786097050,0.1260587722
4990,1.2483298779,2.0776858330,0.1222053617
5000,1.2481969595,2.0778198242,0.1236447021
5010,1.2481799126,2.0781507492,0.1246022210
5020,1.2480534315,2.0779109001,0.1253922135
5030,1.2477551699,2.0774378777,0.1256579757
5040,1.2473083735,2.0766978264,0.1178345233
5050,1.2466658354,2.0758204460,0.1174911559
5060,1.2465703487,2.0757119656,0.1174767911
5070,1.2463104725,2.0758454800,0.1174934432
5080,1.2461767197,2.0759198666,0.1143380031
5090,1.2464187145,2.0759406090,0.1140876561
5100,1.2465727329,2.0732667446,0.1142188311
5110,1.2468498945,2.0733880997,0.1161723137
5120,1.2462934256,2.0735993385,0.1167104319
5130,1.2459062338,2.0727610588,0.1140754372
5140,1.2451820374,2.0722434521,0.1137157604
5150,1.2449238300,2.0709669590,0.1133133247
5160,1.2446759939,2.0697922707,0.1126268432
5170,1.2445578575,2.0694978237,0.1132888719
5180,1.2441239357,2.0692398548,0.1133282632
5190,1.2436416149,2.0694727898,0.1129876599
5200,1.2434602976,2.0689640045,0.1129924655
5210,1.2435424328,2.0687668324,0.1129976287
5220,1.2431876659,2.0689504147,0.1127576753
5230,1.2428547144,2.0666446686,0.1145973280
5240,1.2427260876,2.0669555664,0.1160416156
5250,1.2427823544,2.0667815208,0.1162587479
5260,1.2427321672,2.0655331612,0.1121018380
5270,1.2423729897,2.0655105114,0.1126694307
5280,1.2420861721,2.0652170181,0.1128763035
5290,1.2420144081,2.0655069351,0.1129404008
5300,1.2422587872,2.0649342537,0.1131116524
5310,1.2421773672,2.0647690296,0.1102563068
5320,1.2422983646,2.0650038719,0.1102195829
5330,1.2425528765,2.0649430752,0.1103028804
5340,1.2424895763,2.0639603138,0.1105715334
5350,1.2424494028,2.0639288425,0.1131137908
5360,1.2426378727,2.0640318394,0.1134697646
5370,1.2423417568,2.0631566048,0.1137398705
5380,1.2422600985,2.0625724792,0.1150257140
5390,1.2422962189,2.0631430149,0.1158316582
5400,1.2422286272,2.0630872250,0.1163802370
5410,1.2422337532,2.0622260571,0.1170063615
5420,1.2417745590,2.0620124340,0.1177204400
