Time,X,Y,Z
5271,1.2180536985,1.6644650698,0.5221505165
5281,1.2183982134,1.6644202471,0.5247751474
5291,1.2156016827,1.6629979610,0.5284482837
5301,1.2148530483,1.6635922194,0.5311215520
5310,1.2168384790,1.6632149220,0.5338206291
5320,1.2163190842,1.6636315584,0.5365478396
5332,1.2186119556,1.6638262272,0.5392623544
5341,1.2187287807,1.6640071869,0.5417146087
5350,1.2190157175,1.6635724306,0.5443588495
5360,1.2194131613,1.6620122194,0.5472431183
5370,1.2192498446,1.6603975296,0.5498628616
5381,1.2192989588,1.6603471041,0.5533373952
5390,1.2213797569,1.6653716564,0.5559979081
5400,1.2208670378,1.6608881950,0.5586677790
5411,1.2187315226,1.6606441736,0.5613108873
5421,1.2178071737,1.6617119312,0.5641950965
5431,1.2146648169,1.6618999243,0.5666792989
5440,1.2142729759,1.6620116234,0.5692253113
5452,1.2362351418,1.6638745070,0.5721028447
5460,1.2370347977,1.6623369455,0.5745880604
5472,1.2362170219,1.6620429754,0.5777150989
5480,1.2370301485,1.6623980999,0.5803118348
5490,1.2333967686,1.6613143682,0.5830275416
5500,1.2328586578,1.6639920473,0.5856653452
5510,1.2331316471,1.6636397839,0.5871592164
5520,1.2316435575,1.6662628651,0.5896764994
5530,1.2313145399,1.6659518480,0.5921867490
5540,1.2354897261,1.6655061245,0.5946793556
5550,1.2359020710,1.6653056145,0.5962519646
5560,1.2374054193,1.6649534702,0.5986879468
5570,1.2378737926,1.6645780802,0.6011029482
5580,1.2387336493,1.6686933041,0.6034985185
5590,1.2389233112,1.6699426174,0.6058652997
5600,1.2387037277,1.6707216501,0.6086817384
5610,1.2394535542,1.6701177359,0.6110708117
5620,1.2383074760,1.6690651178,0.6134576201
5630,1.2385206223,1.6681635380,0.6158195734
5640,1.2372457981,1.6674246788,0.6181331873
5650,1.2384235859,1.6687374115,0.6204511523
5660,1.2381625175,1.6690521240,0.6227618456
5672,1.2386217117,1.6693850756,0.6250465512
5680,1.2393565178,1.6715993881,0.6273700595
5690,1.2402588129,1.6707470417,0.6311880350
5700,1.2414143085,1.6714220047,0.6336008906
5710,1.2423098087,1.6718982458,0.6360229850
5720,1.2413221598,1.6716548204,0.6384589076
5730,1.2413645983,1.6706371307,0.6435275078
5740,1.2389216423,1.6693693399,0.6461113691
5750,1.2408550978,1.6703610420,0.6486850977
5760,1.2426202297,1.6733542681,0.6512608528
5770,1.2398389578,1.6692565680,0.6545010209
5780,1.2441704273,1.6697491407,0.6571004987
5790,1.2378451824,1.6729599237,0.6597690582
5800,1.2428846359,1.6706514359,0.6624250412
